Address,City,State,Zip,Tag
2022 Cherrybrook Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
1665 Snapfinger Road,Decatur,GA,30032,Tax Delinquent / Tax Sale
2118 Wesley Chapel Road,Decatur,GA,30035,Tax Delinquent / Tax Sale
2126 Wesley Chapel Road,Decatur,GA,30035,Tax Delinquent / Tax Sale
3807 Austin Park Lane,Decatur,GA,30032,Tax Delinquent / Tax Sale
3296 Glenco Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
2234 Dekalb Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
513 Quillian Avenue,Decatur,GA,30032,Tax Delinquent / Tax Sale
1951 Stanton Street,Decatur,GA,30032,Tax Delinquent / Tax Sale
2925 Glenwood Avenue,Atlanta,GA,30317,Tax Delinquent / Tax Sale
1837 Delphine Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
1984 McAfee Place,Decatur,GA,30032,Tax Delinquent / Tax Sale
1952 Terry Mill Road,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1842 Winthrop Drive,Atlanta,GA,30316,Tax Delinquent / Tax Sale
756 Shadowridge Drive,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1344 McPherson Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
469 Monument Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1257 Metropolitan Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1226 Langley Street,Atlanta,GA,30316,Tax Delinquent / Tax Sale
354 Flat Shoals Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
335 Trilby Street,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1630 Marbut Avenue,Atlanta,GA,30317,Tax Delinquent / Tax Sale
381 Clifton Street SE,Atlanta,GA,30316,Tax Delinquent / Tax Sale
387 Clifton Street SE,Atlanta,GA,30316,Tax Delinquent / Tax Sale
435 Pasley Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
429 Pasley Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
423 Pasley Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
485 Blake Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
2711 Glenwood Avenue REAR,Atlanta,GA,30317,Tax Delinquent / Tax Sale
511 Quillian Avenue,Decatur,GA,30032,Tax Delinquent / Tax Sale
3542 Glenwood Road,Decatur,GA,30032,Tax Delinquent / Tax Sale
1805 Austin Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
4279 Glenhaven Drive,Decatur,GA,30035,Tax Delinquent / Tax Sale
4168 Colony East Drive,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
4065 Indian Creek Circle,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
3083 Belvedere Lane,Decatur,GA,30032,Tax Delinquent / Tax Sale
2520 Saint Patrick Street,Atlanta,GA,30317,Tax Delinquent / Tax Sale
2526 Saint Patrick Street,Atlanta,GA,30317,Tax Delinquent / Tax Sale
191 2nd Avenue SE,Decatur,GA,30030,Tax Delinquent / Tax Sale
2254 Oakview Road,Atlanta,GA,30317,Tax Delinquent / Tax Sale
183 1st Avenue SE,Atlanta,GA,30317,Tax Delinquent / Tax Sale
0 Clifton Street NE,Atlanta,GA,30317,Tax Delinquent / Tax Sale
1251 Renee Drive,Decatur,GA,30035,Tax Delinquent / Tax Sale
1264 Allgood Road,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1233 South Hairston Road,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1229 South Hairston Road,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
0 Hooper Avenue,Atlanta,GA,30307,Tax Delinquent / Tax Sale
3712 Kingswood Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
4744 Elam Road,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
702 Guide Post Lane,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
754 Guide Post Lane,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
1079 Parkwest Court,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
2519 Terrace Trail,Decatur,GA,30035,Tax Delinquent / Tax Sale
2822 Shell Bark Road,Decatur,GA,30035,Tax Delinquent / Tax Sale
2848 Shell Bark Road,Decatur,GA,30035,Tax Delinquent / Tax Sale
5066 Highland Hills Parkway,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
822 Mather Court,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
2504 Panola Road,Lithonia,GA,30058,Tax Delinquent / Tax Sale
1954 Denham Court,Lithonia,GA,30058,Tax Delinquent / Tax Sale
5771 Wellborn Oaks Court,Lithonia,GA,30058,Tax Delinquent / Tax Sale
1054 South Stone Mountain Lithonia Road,Lithonia,GA,30058,Tax Delinquent / Tax Sale
109 Tiburon Court,Lithonia,GA,30038,Tax Delinquent / Tax Sale
5203 Fairington Ridge Circle,Lithonia,GA,30038,Tax Delinquent / Tax Sale
1323 Kilgore Road,Lithonia,GA,30058,Tax Delinquent / Tax Sale
1086 Falkirk Lane,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
1092 Falkirk Lane,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
1098 Falkirk Lane,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
1171 Falkirk Lane,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
1157 Falkirk Lane,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
1147 Falkirk Lane,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
6402 Shadow Square,Lithonia,GA,30058,Tax Delinquent / Tax Sale
6397 Shadow Square,Lithonia,GA,30058,Tax Delinquent / Tax Sale
6679 Eastbriar Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
6678 Eastbriar Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2684 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2608 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2606 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2604 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2602 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2600 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2598 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2592 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2590 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2586 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2584 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2582 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2580 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2578 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2576 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2574 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2572 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2570 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2568 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2573 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2575 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2577 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2579 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2581 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2583 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2585 Evans Mill Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
6473 Eastbriar Drive,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2038 Charter Manor,Lithonia,GA,30058,Tax Delinquent / Tax Sale
6768 Church Street,Lithonia,GA,30058,Tax Delinquent / Tax Sale
7358 Drake Avenue REAR,Lithonia,GA,30058,Tax Delinquent / Tax Sale
3619 Brook Park Trail,Conyers,GA,30094,Tax Delinquent / Tax Sale
3700 Stonecreek Circle,Conyers,GA,30094,Tax Delinquent / Tax Sale
3462 Brook Rose Lane,Lithonia,GA,30038,Tax Delinquent / Tax Sale
3321 Sweet Maple Walk,Lithonia,GA,30038,Tax Delinquent / Tax Sale
729 The Trace,Lithonia,GA,30058,Tax Delinquent / Tax Sale
735 The Trace,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2276 Margaret Court,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2372 Union Grove Court,Lithonia,GA,30058,Tax Delinquent / Tax Sale
2408 Union Grove Court,Lithonia,GA,30058,Tax Delinquent / Tax Sale
3282 Garden Glade Lane,Lithonia,GA,30038,Tax Delinquent / Tax Sale
341 Ohm Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3719 North Decatur Road,Scottdale,GA,30079,Tax Delinquent / Tax Sale
488 Prince Of Wales,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
555 Fortune Ridge Road,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
5738 Walter Trail,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
513 North Stone Mountain Lithonia Road,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
5540 Rockbridge Road,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
5366 Ridgemere Court,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
3151 Ferrell Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3147 Ferrell Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3192 McHenry Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
538 Dixon Street,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3185 Granby Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3181 Granby Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3198 Blanton Drive,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3152 Altacrest Drive,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3227 Granby Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3208 Blanton Drive,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3224 Blanton Drive,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3377 Lawrence Street,Scottdale,GA,30079,Tax Delinquent / Tax Sale
3389 Lawrence Street,Scottdale,GA,30079,Tax Delinquent / Tax Sale
566 Bell Boulevard,Scottdale,GA,30079,Tax Delinquent / Tax Sale
452 Ohm Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
464 Ohm Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
2536 Woodridge Drive,Decatur,GA,30033,Tax Delinquent / Tax Sale
2820 Lincoln Drive,Decatur,GA,30033,Tax Delinquent / Tax Sale
821 Pendleton Avenue,Clarkston,GA,30021,Tax Delinquent / Tax Sale
6608 Old Singleton Lane,Clarkston,GA,30021,Tax Delinquent / Tax Sale
6685 Baynes Hill Circle,Clarkston,GA,30021,Tax Delinquent / Tax Sale
6687 Baynes Hill Circle,Clarkston,GA,30021,Tax Delinquent / Tax Sale
721 North Hairston Road,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
0 SHEPPARD WAY,,GA,,Tax Delinquent / Tax Sale
806 Ridge Avenue,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
575 North Stone Mountain Lithonia Road,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
5460 Lucile Street,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
963 Main Street,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
920 4th Street,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1150 Rankin Street Unit 23 O,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
5022 West Mountain Street,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1495 Lively Ridge Road,Atlanta,GA,30329,Tax Delinquent / Tax Sale
3981 Williams Street,Clarkston,GA,30021,Tax Delinquent / Tax Sale
1151 Rankin Street Unit 14 A,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1151 Rankin Street Unit 15 A,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1150 Rankin Street Unit 3E,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1150 Rankin Street Unit 8F,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1407 Juliette Road,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1465 Brockett Road,Clarkston,GA,30021,Tax Delinquent / Tax Sale
5965 Bowers Road,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
5973 Bowers Road,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
3740 Allsborough Drive,Tucker,GA,30084,Tax Delinquent / Tax Sale
2883 Mountain Industrial Boulevard,Tucker,GA,30084,Tax Delinquent / Tax Sale
3066 Mercer University Drive Unit E,Chamblee,GA,30341,Tax Delinquent / Tax Sale
3066 Mercer University Drive Unit F,Chamblee,GA,30341,Tax Delinquent / Tax Sale
2921 Parkridge Drive,Atlanta,GA,30319,Tax Delinquent / Tax Sale
2923 Parkridge Drive,Atlanta,GA,30319,Tax Delinquent / Tax Sale
3231 Shadow Walk Lane,Tucker,GA,30084,Tax Delinquent / Tax Sale
1551 Johnson Ferry Road,Atlanta,GA,30319,Tax Delinquent / Tax Sale
3594 Chelsea Crescent,Atlanta,GA,30319,Tax Delinquent / Tax Sale
3543 Chamblee Dunwoody Road,Chamblee,GA,30341,Tax Delinquent / Tax Sale
6350 New Peachtree Road,Doraville,GA,30340,Tax Delinquent / Tax Sale
1672 R WITHMERE WAY,,GA,,Tax Delinquent / Tax Sale
3746 Brookside Parkway,Decatur,GA,30034,Tax Delinquent / Tax Sale
3882 Blue Granite Way,Conley,GA,30288,Tax Delinquent / Tax Sale
3258 Blazing Pine Knoll,Decatur,GA,30034,Tax Delinquent / Tax Sale
2850 Belleau Lane,Atlanta,GA,30316,Tax Delinquent / Tax Sale
2661 Casher Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
2688 Cavalier Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
2059 Seavey Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
1871 Clarke Lane,Decatur,GA,30035,Tax Delinquent / Tax Sale
564 Quillian Avenue,Decatur,GA,30032,Tax Delinquent / Tax Sale
1526 May Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1427 Glenwood Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
2852 Santa Barbara Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
1753 Austin Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
4658 Big Valley Court,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1454 Meadowlark Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
1483 Hardee Street,Atlanta,GA,30307,Tax Delinquent / Tax Sale
187 Rockyford Road,Atlanta,GA,30317,Tax Delinquent / Tax Sale
1178 Conway Road,Decatur,GA,30030,Tax Delinquent / Tax Sale
1839 Quail Wood Drive,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
3805 Cumbrian Lane,Lithonia,GA,30038,Tax Delinquent / Tax Sale
5146 Galbraith Circle,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
5373 Granite Court,Stone Mountain,GA,30088,Tax Delinquent / Tax Sale
2262 Hunters Court,Lithonia,GA,30058,Tax Delinquent / Tax Sale
3003 Heritage Villas Drive,Lithonia,GA,30038,Tax Delinquent / Tax Sale
6865 Magnolia Street,Lithonia,GA,30058,Tax Delinquent / Tax Sale
7037 Pine Mountain Road,Lithonia,GA,30058,Tax Delinquent / Tax Sale
7534 Conyers Street,Lithonia,GA,30058,Tax Delinquent / Tax Sale
3133 Cedar Street,Scottdale,GA,30079,Tax Delinquent / Tax Sale
482 Mountain Oaks Parkway,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
617 Woodfall Court,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
3162 Robinson Avenue,Scottdale,GA,30079,Tax Delinquent / Tax Sale
6643 Blantyre Boulevard,Stone Mountain,GA,30087,Tax Delinquent / Tax Sale
1434 Sagewood Circle,Stone Mountain,GA,30083,Tax Delinquent / Tax Sale
1530 Lavista Drive,Decatur,ga,30033,Tax Delinquent / Tax Sale
4199 Pine Valley Road,Tucker,GA,30084,Tax Delinquent / Tax Sale
1618 CIRCLESTONE DR,Decatur,GA,30088,Pre-Foreclosure
3154 ROBINSON ROAD,Decatur,GA,,Tax Delinquent / Tax Sale
